economy,flows,products,is_subtotal,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
01AUS,14 Industry sector,01 Coal,True,104.529424,94.601227,82.940956,87.049253,90.513952,93.420923,91.783591,93.451528,96.810225,91.460566,84.483507,81.209053,78.045285,80.833978,82.611053,79.708269,93.026413,89.347849,98.789133,97.46813,90.939804,93.46722,92.618845
01AUS,14 Industry sector,01.01 Coking coal,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,01.02 Other bituminous coal,True,57.002604,54.406897,38.524304,49.215503,51.528501,50.500499,49.112701,50.166397,51.605592,49.086998,41.505498,40.323297,38.061696,38.164499,37.496303,36.236997,36.211298,30.279419,35.415522,36.318099,37.607496,35.394031,37.972832
01AUS,14 Industry sector,01.03 Sub-bituminous coal,True,47.52682,40.194331,44.398033,37.814152,38.965853,42.900825,42.651292,43.265533,45.185034,42.344169,42.95841,40.866157,39.96399,41.92188,44.340448,42.728073,55.991818,58.218434,61.001714,57.469834,51.788112,55.300791,52.536716
01AUS,14 Industry sector,01.04 Anthracite,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747599,0.774303,0.694201,0.774298,0.800998,2.322899,3.631199,1.495198,2.7234,2.109297
01AUS,14 Industry sector,01.05 Lignite,True,0.0,0.0,0.018619,0.019598,0.019598,0.019598,0.019598,0.019598,0.019598,0.0294,0.019598,0.019598,0.019598,0.0,0.0,0.048998,0.048998,0.048998,0.048998,0.048998,0.048998,0.048998,0.0
01AUS,14 Industry sector,01.99 Coal nonspecified,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,02 Coal products,True,62.742828,60.266537,33.040442,46.100859,49.849163,53.636027,47.819988,45.762335,46.611247,42.092798,16.986388,19.623946,20.595673,17.48169,19.542446,18.057216,19.918094,22.500516,22.408951,21.83667,20.133099,19.65667,20.307244
01AUS,14 Industry sector,02.01 Coke oven coke,True,9.423005,12.015002,11.151002,8.018999,13.014002,14.094,10.071004,10.179003,9.018003,14.850002,13.662002,16.308,17.307,14.256004,16.47,16.361998,14.040003,16.550998,16.659001,16.550998,14.525998,14.121,15.093
01AUS,14 Industry sector,02.02 Gas coke,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,02.03 Coke oven gas,True,21.832203,17.999999,18.234,11.057397,13.2138,15.4197,15.806702,17.255699,18.5391,13.496401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,02.04 Blast furnace gas,True,25.672001,24.1,1.304,17.731002,18.086,14.383998,13.155001,13.231,14.221999,9.748001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,02.05 Other recovered gases,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
