Branch Path,Variable,Scenario,Year,Value,Units,share_decreased_from,note,DO_NOT_USE
Demand\Freight road\LCVs\BEV,Sales Share,Target,2046,100.0,Share,,Survival-based replacement sales share used only where current 06HKC sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\BEV,Sales Share,Target,2047,100.0,Share,,Survival-based replacement sales share used only where current 06HKC sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\BEV,Sales Share,Target,2048,100.0,Share,,Survival-based replacement sales share used only where current 06HKC sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\BEV,Sales Share,Target,2049,100.0,Share,,Survival-based replacement sales share used only where current 06HKC sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\BEV,Sales Share,Target,2050,100.0,Share,,Survival-based replacement sales share used only where current 06HKC sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\BEV,Sales Share,Target,2051,100.0,Share,,Survival-based replacement sales share used only where current 06HKC sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\BEV,Sales Share,Target,2052,100.0,Share,,Survival-based replacement sales share used only where current 06HKC sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\BEV,Sales Share,Target,2053,100.0,Share,,Survival-based replacement sales share used only where current 06HKC sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\BEV,Sales Share,Target,2054,100.0,Share,,Survival-based replacement sales share used only where current 06HKC sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\BEV,Sales Share,Target,2055,100.0,Share,,Survival-based replacement sales share used only where current 06HKC sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\BEV,Sales Share,Target,2056,100.0,Share,,Survival-based replacement sales share used only where current 06HKC sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\BEV,Sales Share,Target,2057,100.0,Share,,Survival-based replacement sales share used only where current 06HKC sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\BEV,Sales Share,Target,2058,100.0,Share,,Survival-based replacement sales share used only where current 06HKC sales total is zero; 9th-edition shares retained in earlier years.,
