Branch Path,Variable,Scenario,Year,Value,Units,share_decreased_from,note,DO_NOT_USE
Demand\Passenger road\LPVs\BEV large,Sales Share,Target,2058,2.4076808427646945,Share,,Survival-based replacement sales share used only where current 08JPN sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\LPVs\BEV large,Sales Share,Target,2059,2.4558613081481577,Share,,Survival-based replacement sales share used only where current 08JPN sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\LPVs\BEV large,Sales Share,Target,2060,2.514528850486003,Share,,Survival-based replacement sales share used only where current 08JPN sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\LPVs\BEV medium,Sales Share,Target,2058,7.046202432479275,Share,,Survival-based replacement sales share used only where current 08JPN sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\LPVs\BEV medium,Sales Share,Target,2059,7.187205054734319,Share,,Survival-based replacement sales share used only where current 08JPN sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\LPVs\BEV medium,Sales Share,Target,2060,7.358898649743203,Share,,Survival-based replacement sales share used only where current 08JPN sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\LPVs\BEV small,Sales Share,Target,2058,83.6660997010089,Share,,Survival-based replacement sales share used only where current 08JPN sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\LPVs\BEV small,Sales Share,Target,2059,85.35501236026596,Share,,Survival-based replacement sales share used only where current 08JPN sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\LPVs\BEV small,Sales Share,Target,2060,87.36306580380415,Share,,Survival-based replacement sales share used only where current 08JPN sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\LPVs\EREV large,Sales Share,Target,2058,0.0,Share,,Survival-based replacement sales share used only where current 08JPN sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\LPVs\EREV large,Sales Share,Target,2059,0.0,Share,,Survival-based replacement sales share used only where current 08JPN sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\LPVs\EREV large,Sales Share,Target,2060,0.0,Share,,Survival-based replacement sales share used only where current 08JPN sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\LPVs\EREV medium,Sales Share,Target,2058,0.0,Share,,Survival-based replacement sales share used only where current 08JPN sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\LPVs\EREV medium,Sales Share,Target,2059,0.0,Share,,Survival-based replacement sales share used only where current 08JPN sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\LPVs\EREV medium,Sales Share,Target,2060,0.0,Share,,Survival-based replacement sales share used only where current 08JPN sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\LPVs\EREV small,Sales Share,Target,2058,0.0,Share,,Survival-based replacement sales share used only where current 08JPN sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\LPVs\EREV small,Sales Share,Target,2059,0.0,Share,,Survival-based replacement sales share used only where current 08JPN sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\LPVs\EREV small,Sales Share,Target,2060,0.0,Share,,Survival-based replacement sales share used only where current 08JPN sales total is zero; 9th-edition shares retained in earlier years.,
