Branch Path,Variable,Scenario,Year,Value,Units,share_decreased_from,note,DO_NOT_USE
Demand\Passenger road\Buses\BEV,Sales Share,Target,2057,89.94282547614904,Share,,Survival-based replacement sales share used only where current 09ROK sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\BEV,Sales Share,Target,2058,89.94531695836547,Share,,Survival-based replacement sales share used only where current 09ROK sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\BEV,Sales Share,Target,2059,89.95615006857443,Share,,Survival-based replacement sales share used only where current 09ROK sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\BEV,Sales Share,Target,2060,89.96227452548489,Share,,Survival-based replacement sales share used only where current 09ROK sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\FCEV,Sales Share,Target,2057,10.057174523850964,Share,,Survival-based replacement sales share used only where current 09ROK sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\FCEV,Sales Share,Target,2058,10.05468304163454,Share,,Survival-based replacement sales share used only where current 09ROK sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\FCEV,Sales Share,Target,2059,10.043849931425566,Share,,Survival-based replacement sales share used only where current 09ROK sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\FCEV,Sales Share,Target,2060,10.037725474515117,Share,,Survival-based replacement sales share used only where current 09ROK sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\ICE,Sales Share,Target,2057,0.0,Share,,Survival-based replacement sales share used only where current 09ROK sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\ICE,Sales Share,Target,2058,0.0,Share,,Survival-based replacement sales share used only where current 09ROK sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\ICE,Sales Share,Target,2059,0.0,Share,,Survival-based replacement sales share used only where current 09ROK sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\ICE,Sales Share,Target,2060,0.0,Share,,Survival-based replacement sales share used only where current 09ROK sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Target,2049,100.0,Share,,Survival-based replacement sales share used only where current 09ROK sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Target,2050,100.0,Share,,Survival-based replacement sales share used only where current 09ROK sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Target,2051,100.0,Share,,Survival-based replacement sales share used only where current 09ROK sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Target,2052,100.0,Share,,Survival-based replacement sales share used only where current 09ROK sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Target,2053,100.0,Share,,Survival-based replacement sales share used only where current 09ROK sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Target,2054,100.0,Share,,Survival-based replacement sales share used only where current 09ROK sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Target,2055,100.0,Share,,Survival-based replacement sales share used only where current 09ROK sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Target,2056,100.0,Share,,Survival-based replacement sales share used only where current 09ROK sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Target,2057,100.0,Share,,Survival-based replacement sales share used only where current 09ROK sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Target,2058,100.0,Share,,Survival-based replacement sales share used only where current 09ROK sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Target,2059,100.0,Share,,Survival-based replacement sales share used only where current 09ROK sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Target,2060,100.0,Share,,Survival-based replacement sales share used only where current 09ROK sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Target,2049,0.0,Share,,Survival-based replacement sales share used only where current 09ROK sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Target,2050,0.0,Share,,Survival-based replacement sales share used only where current 09ROK sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Target,2051,0.0,Share,,Survival-based replacement sales share used only where current 09ROK sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Target,2052,0.0,Share,,Survival-based replacement sales share used only where current 09ROK sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Target,2053,0.0,Share,,Survival-based replacement sales share used only where current 09ROK sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Target,2054,0.0,Share,,Survival-based replacement sales share used only where current 09ROK sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Target,2055,0.0,Share,,Survival-based replacement sales share used only where current 09ROK sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Target,2056,0.0,Share,,Survival-based replacement sales share used only where current 09ROK sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Target,2057,0.0,Share,,Survival-based replacement sales share used only where current 09ROK sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Target,2058,0.0,Share,,Survival-based replacement sales share used only where current 09ROK sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Target,2059,0.0,Share,,Survival-based replacement sales share used only where current 09ROK sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Target,2060,0.0,Share,,Survival-based replacement sales share used only where current 09ROK sales total is zero; 9th-edition shares retained in earlier years.,
