Branch Path,Variable,Scenario,Year,Value,Units,share_decreased_from,note,DO_NOT_USE
Demand\Passenger road\LPVs\BEV large,Sales Share,Target,2059,3.0790946935843397,Share,,Survival-based replacement sales share used only where current 10MAS sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\LPVs\BEV large,Sales Share,Target,2060,3.1023158727842914,Share,,Survival-based replacement sales share used only where current 10MAS sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\LPVs\BEV medium,Sales Share,Target,2059,8.05684919372595,Share,,Survival-based replacement sales share used only where current 10MAS sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\LPVs\BEV medium,Sales Share,Target,2060,8.117610410100482,Share,,Survival-based replacement sales share used only where current 10MAS sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\LPVs\BEV small,Sales Share,Target,2059,88.05004849788253,Share,,Survival-based replacement sales share used only where current 10MAS sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\LPVs\BEV small,Sales Share,Target,2060,88.71408327375129,Share,,Survival-based replacement sales share used only where current 10MAS sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\LPVs\EREV large,Sales Share,Target,2059,0.0,Share,,Survival-based replacement sales share used only where current 10MAS sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\LPVs\EREV large,Sales Share,Target,2060,0.0,Share,,Survival-based replacement sales share used only where current 10MAS sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\LPVs\EREV medium,Sales Share,Target,2059,0.0,Share,,Survival-based replacement sales share used only where current 10MAS sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\LPVs\EREV medium,Sales Share,Target,2060,0.0,Share,,Survival-based replacement sales share used only where current 10MAS sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\LPVs\EREV small,Sales Share,Target,2059,0.0,Share,,Survival-based replacement sales share used only where current 10MAS sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\LPVs\EREV small,Sales Share,Target,2060,0.0,Share,,Survival-based replacement sales share used only where current 10MAS sales total is zero; 9th-edition shares retained in earlier years.,
