Branch Path,Variable,Scenario,Year,Value,Units,share_decreased_from,note,DO_NOT_USE
Demand\Freight road\LCVs\BEV,Sales Share,Target,2051,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\BEV,Sales Share,Target,2052,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\BEV,Sales Share,Target,2053,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\BEV,Sales Share,Target,2054,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\BEV,Sales Share,Target,2055,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\BEV,Sales Share,Target,2056,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\BEV,Sales Share,Target,2057,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\BEV,Sales Share,Target,2058,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\BEV,Sales Share,Target,2059,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\BEV,Sales Share,Target,2060,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\ICE,Sales Share,Target,2051,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\ICE,Sales Share,Target,2052,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\ICE,Sales Share,Target,2053,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\ICE,Sales Share,Target,2054,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\ICE,Sales Share,Target,2055,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\ICE,Sales Share,Target,2056,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\ICE,Sales Share,Target,2057,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\ICE,Sales Share,Target,2058,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\ICE,Sales Share,Target,2059,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\ICE,Sales Share,Target,2060,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\PHEV,Sales Share,Target,2051,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\PHEV,Sales Share,Target,2052,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\PHEV,Sales Share,Target,2053,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\PHEV,Sales Share,Target,2054,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\PHEV,Sales Share,Target,2055,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\PHEV,Sales Share,Target,2056,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\PHEV,Sales Share,Target,2057,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\PHEV,Sales Share,Target,2058,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\PHEV,Sales Share,Target,2059,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Freight road\LCVs\PHEV,Sales Share,Target,2060,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\BEV,Sales Share,Target,2051,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\BEV,Sales Share,Target,2052,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\BEV,Sales Share,Target,2053,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\BEV,Sales Share,Target,2054,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
