Branch Path,Variable,Scenario,Year,Value,Units
Demand\Freight road,Sales,Current Accounts,2022,0.0,Device
Demand\Freight road,Sales,Target,2022,0.0,Device
Demand\Freight road,Sales,Target,2023,332731.647290246,Device
Demand\Freight road,Sales,Target,2024,342899.7539119554,Device
Demand\Freight road,Sales,Target,2025,340433.7842847609,Device
Demand\Freight road,Sales,Target,2026,337973.3678291965,Device
Demand\Freight road,Sales,Target,2027,337836.3288270678,Device
Demand\Freight road,Sales,Target,2028,335617.4404388983,Device
Demand\Freight road,Sales,Target,2029,335084.2824899371,Device
Demand\Freight road,Sales,Target,2030,334685.6672572404,Device
Demand\Freight road,Sales,Target,2031,335276.9035955407,Device
Demand\Freight road,Sales,Target,2032,335788.2908016674,Device
Demand\Freight road,Sales,Target,2033,336391.9108509694,Device
Demand\Freight road,Sales,Target,2034,337035.7502301806,Device
Demand\Freight road,Sales,Target,2035,337504.4594653349,Device
Demand\Freight road,Sales,Target,2036,339602.1554212567,Device
Demand\Freight road,Sales,Target,2037,339794.8934422772,Device
Demand\Freight road,Sales,Target,2038,342591.8613389398,Device
Demand\Freight road,Sales,Target,2039,343876.3277880854,Device
Demand\Freight road,Sales,Target,2040,349165.4556264101,Device
Demand\Freight road,Sales,Target,2041,349562.6698692665,Device
Demand\Freight road,Sales,Target,2042,348747.5514366505,Device
Demand\Freight road,Sales,Target,2043,350957.9423221152,Device
Demand\Freight road,Sales,Target,2044,347690.1374788115,Device
Demand\Freight road,Sales,Target,2045,354131.1764218666,Device
Demand\Freight road,Sales,Target,2046,354738.4166365641,Device
Demand\Freight road,Sales,Target,2047,355507.1812467627,Device
Demand\Freight road,Sales,Target,2048,355242.0312682862,Device
Demand\Freight road,Sales,Target,2049,356173.8654611601,Device
Demand\Freight road,Sales,Target,2050,360508.5556617706,Device
Demand\Freight road,Sales,Target,2051,358147.5683924214,Device
Demand\Freight road,Sales,Target,2052,360555.6118530156,Device
Demand\Freight road,Sales,Target,2053,356598.0242901499,Device
Demand\Freight road,Sales,Target,2054,363966.969640317,Device
Demand\Freight road,Sales,Target,2055,363778.2710561557,Device
Demand\Freight road,Sales,Target,2056,365810.7046787866,Device
Demand\Freight road,Sales,Target,2057,369212.2811380951,Device
Demand\Freight road,Sales,Target,2058,373302.6114993425,Device
Demand\Freight road,Sales,Target,2059,370985.1770811295,Device
Demand\Freight road,Sales,Target,2060,365432.2717949228,Device
Demand\Freight road\LCVs,Sales Share,Current Accounts,2022,30.0,Share
Demand\Freight road\LCVs,Sales Share,Target,2022,30.0,Share
Demand\Freight road\LCVs,Sales Share,Target,2023,37.53967233497179,Share
Demand\Freight road\LCVs,Sales Share,Target,2024,56.18864877528959,Share
Demand\Freight road\LCVs,Sales Share,Target,2025,56.21467303903906,Share
Demand\Freight road\LCVs,Sales Share,Target,2026,56.21205665289916,Share
Demand\Freight road\LCVs,Sales Share,Target,2027,56.21531812227237,Share
Demand\Freight road\LCVs,Sales Share,Target,2028,56.21619141498974,Share
Demand\Freight road\LCVs,Sales Share,Target,2029,56.20948480867788,Share
Demand\Freight road\LCVs,Sales Share,Target,2030,56.20550107307067,Share
Demand\Freight road\LCVs,Sales Share,Target,2031,56.20034405037659,Share
Demand\Freight road\LCVs,Sales Share,Target,2032,56.16986857089798,Share
Demand\Freight road\LCVs,Sales Share,Target,2033,56.13319706626822,Share
Demand\Freight road\LCVs,Sales Share,Target,2034,56.08528903335668,Share
Demand\Freight road\LCVs,Sales Share,Target,2035,56.01997429129923,Share
Demand\Freight road\LCVs,Sales Share,Target,2036,56.95418425448163,Share
Demand\Freight road\LCVs,Sales Share,Target,2037,58.93328375167333,Share
Demand\Freight road\LCVs,Sales Share,Target,2038,60.23257096133523,Share
Demand\Freight road\LCVs,Sales Share,Target,2039,61.18532859241574,Share
Demand\Freight road\LCVs,Sales Share,Target,2040,62.10166340010127,Share
Demand\Freight road\LCVs,Sales Share,Target,2041,62.80136906389836,Share
Demand\Freight road\LCVs,Sales Share,Target,2042,63.33893012408178,Share
Demand\Freight road\LCVs,Sales Share,Target,2043,63.83475996810128,Share
Demand\Freight road\LCVs,Sales Share,Target,2044,64.31613751100463,Share
Demand\Freight road\LCVs,Sales Share,Target,2045,64.73010690818072,Share
Demand\Freight road\LCVs,Sales Share,Target,2046,65.14016524890005,Share
Demand\Freight road\LCVs,Sales Share,Target,2047,65.52297341220896,Share
Demand\Freight road\LCVs,Sales Share,Target,2048,65.88081911714964,Share
Demand\Freight road\LCVs,Sales Share,Target,2049,66.20357971409265,Share
Demand\Freight road\LCVs,Sales Share,Target,2050,66.47176207578616,Share
Demand\Freight road\LCVs,Sales Share,Target,2051,64.30042168689009,Share
Demand\Freight road\LCVs,Sales Share,Target,2052,63.42317080836452,Share
Demand\Freight road\LCVs,Sales Share,Target,2053,62.60543920652647,Share
Demand\Freight road\LCVs,Sales Share,Target,2054,61.11399222281798,Share
Demand\Freight road\LCVs,Sales Share,Target,2055,59.52677937183404,Share
Demand\Freight road\LCVs,Sales Share,Target,2056,57.93000293018908,Share
Demand\Freight road\LCVs,Sales Share,Target,2057,56.33241104469785,Share
Demand\Freight road\LCVs,Sales Share,Target,2058,54.74504738650398,Share
Demand\Freight road\LCVs,Sales Share,Target,2059,53.12088335624102,Share
Demand\Freight road\LCVs,Sales Share,Target,2060,51.458247631974,Share
Demand\Freight road\LCVs,Stock,Current Accounts,2022,2429682.67079739,Device
Demand\Freight road\LCVs,Stock Share,Current Accounts,2022,56.44877003886122,Share
Demand\Freight road\LCVs\BEV,Sales Share,Current Accounts,2022,5.0,Share
Demand\Freight road\LCVs\BEV,Sales Share,Target,2022,5.0,Share
Demand\Freight road\LCVs\BEV,Sales Share,Target,2023,4.885628844788558,Share
Demand\Freight road\LCVs\BEV,Sales Share,Target,2024,8.883768634170552,Share
Demand\Freight road\LCVs\BEV,Sales Share,Target,2025,11.59285019315277,Share
Demand\Freight road\LCVs\BEV,Sales Share,Target,2026,14.82486211575387,Share
Demand\Freight road\LCVs\BEV,Sales Share,Target,2027,17.86887342048003,Share
Demand\Freight road\LCVs\BEV,Sales Share,Target,2028,20.87401892321921,Share
