Branch Path,Variable,Scenario,Year,Value,Units
Demand\Freight road,Sales,Current Accounts,2022,0.0,Device
Demand\Freight road,Sales,Target,2022,0.0,Device
Demand\Freight road,Sales,Target,2023,46115.9351311885,Device
Demand\Freight road,Sales,Target,2024,46372.02047313735,Device
Demand\Freight road,Sales,Target,2025,45926.55526408351,Device
Demand\Freight road,Sales,Target,2026,45672.57310435629,Device
Demand\Freight road,Sales,Target,2027,45474.50721179644,Device
Demand\Freight road,Sales,Target,2028,45306.95579637965,Device
Demand\Freight road,Sales,Target,2029,45170.99910177114,Device
Demand\Freight road,Sales,Target,2030,45076.00995180793,Device
Demand\Freight road,Sales,Target,2031,45025.24561366216,Device
Demand\Freight road,Sales,Target,2032,45044.16933925327,Device
Demand\Freight road,Sales,Target,2033,45040.99720692839,Device
Demand\Freight road,Sales,Target,2034,45068.84955645969,Device
Demand\Freight road,Sales,Target,2035,45114.43035163566,Device
Demand\Freight road,Sales,Target,2036,45205.32976653098,Device
Demand\Freight road,Sales,Target,2037,45313.63263659739,Device
Demand\Freight road,Sales,Target,2038,45440.23950771444,Device
Demand\Freight road,Sales,Target,2039,45575.64045561367,Device
Demand\Freight road,Sales,Target,2040,45736.02154881719,Device
Demand\Freight road,Sales,Target,2041,45899.16079016381,Device
Demand\Freight road,Sales,Target,2042,46076.90061078868,Device
Demand\Freight road,Sales,Target,2043,46214.17119139465,Device
Demand\Freight road,Sales,Target,2044,46387.58658851658,Device
Demand\Freight road,Sales,Target,2045,46551.6999313987,Device
Demand\Freight road,Sales,Target,2046,46679.79778956438,Device
Demand\Freight road,Sales,Target,2047,46830.32191284696,Device
Demand\Freight road,Sales,Target,2048,46942.61617024486,Device
Demand\Freight road,Sales,Target,2049,47075.70284016745,Device
Demand\Freight road,Sales,Target,2050,47178.07604424252,Device
Demand\Freight road,Sales,Target,2051,47271.13538708672,Device
Demand\Freight road,Sales,Target,2052,47335.33828151286,Device
Demand\Freight road,Sales,Target,2053,47404.06767561955,Device
Demand\Freight road,Sales,Target,2054,47446.10260512445,Device
Demand\Freight road,Sales,Target,2055,47496.3376094381,Device
Demand\Freight road,Sales,Target,2056,47526.90001243132,Device
Demand\Freight road,Sales,Target,2057,47534.59797810645,Device
Demand\Freight road,Sales,Target,2058,47582.77032866192,Device
Demand\Freight road,Sales,Target,2059,47547.9670616123,Device
Demand\Freight road,Sales,Target,2060,47099.01110265576,Device
Demand\Freight road\LCVs,Sales Share,Current Accounts,2022,30.0,Share
Demand\Freight road\LCVs,Sales Share,Target,2022,30.0,Share
Demand\Freight road\LCVs,Sales Share,Target,2023,0.0455975144685573,Share
Demand\Freight road\LCVs,Sales Share,Target,2024,0.078014886436555,Share
Demand\Freight road\LCVs,Sales Share,Target,2025,0.0775684501652805,Share
Demand\Freight road\LCVs,Sales Share,Target,2026,0.0772267529829887,Share
Demand\Freight road\LCVs,Sales Share,Target,2027,0.0765115469545222,Share
Demand\Freight road\LCVs,Sales Share,Target,2028,0.0759462118956166,Share
Demand\Freight road\LCVs,Sales Share,Target,2029,0.0755814868852694,Share
Demand\Freight road\LCVs,Sales Share,Target,2030,0.0753656055468342,Share
Demand\Freight road\LCVs,Sales Share,Target,2031,0.071973813508129,Share
Demand\Freight road\LCVs,Sales Share,Target,2032,0.0677560068083838,Share
Demand\Freight road\LCVs,Sales Share,Target,2033,0.0620103256859251,Share
Demand\Freight road\LCVs,Sales Share,Target,2034,0.0579134069331941,Share
Demand\Freight road\LCVs,Sales Share,Target,2035,0.0564799153215366,Share
Demand\Freight road\LCVs,Sales Share,Target,2036,0.0581226066319317,Share
Demand\Freight road\LCVs,Sales Share,Target,2037,0.0599886195359731,Share
Demand\Freight road\LCVs,Sales Share,Target,2038,0.0618710984724664,Share
Demand\Freight road\LCVs,Sales Share,Target,2039,0.0637069098755607,Share
Demand\Freight road\LCVs,Sales Share,Target,2040,0.0646267276709755,Share
Demand\Freight road\LCVs,Sales Share,Target,2041,0.1012969365454542,Share
Demand\Freight road\LCVs,Sales Share,Target,2042,0.1044346811473049,Share
Demand\Freight road\LCVs,Sales Share,Target,2043,0.1078260633805035,Share
Demand\Freight road\LCVs,Sales Share,Target,2044,0.1074864010984746,Share
Demand\Freight road\LCVs,Sales Share,Target,2045,0.1051584565342873,Share
Demand\Freight road\LCVs,Sales Share,Target,2046,0.1030503963472162,Share
Demand\Freight road\LCVs,Sales Share,Target,2047,0.1011564367455214,Share
Demand\Freight road\LCVs,Sales Share,Target,2048,0.0994316259048253,Share
Demand\Freight road\LCVs,Sales Share,Target,2049,0.0978414729209922,Share
Demand\Freight road\LCVs,Sales Share,Target,2050,0.096394691159691,Share
Demand\Freight road\LCVs,Sales Share,Target,2051,0.0945682836437574,Share
Demand\Freight road\LCVs,Sales Share,Target,2052,0.0928382197466222,Share
Demand\Freight road\LCVs,Sales Share,Target,2053,0.0912102633584779,Share
Demand\Freight road\LCVs,Sales Share,Target,2054,0.0896927131089348,Share
Demand\Freight road\LCVs,Sales Share,Target,2055,0.0882506901474605,Share
Demand\Freight road\LCVs,Sales Share,Target,2056,0.086901383618659,Share
Demand\Freight road\LCVs,Sales Share,Target,2057,0.0856394794021712,Share
Demand\Freight road\LCVs,Sales Share,Target,2058,0.0844583408954011,Share
Demand\Freight road\LCVs,Sales Share,Target,2059,0.083335279628785,Share
Demand\Freight road\LCVs,Sales Share,Target,2060,0.0822809780802028,Share
Demand\Freight road\LCVs,Stock,Current Accounts,2022,450.9670968239011,Device
Demand\Freight road\LCVs,Stock Share,Current Accounts,2022,0.0792391239448875,Share
Demand\Freight road\LCVs\BEV,Sales Share,Current Accounts,2022,5.0,Share
Demand\Freight road\LCVs\BEV,Sales Share,Target,2022,5.0,Share
Demand\Freight road\LCVs\BEV,Sales Share,Target,2023,100.0,Share
Demand\Freight road\LCVs\BEV,Sales Share,Target,2024,100.0,Share
Demand\Freight road\LCVs\BEV,Sales Share,Target,2025,100.0,Share
Demand\Freight road\LCVs\BEV,Sales Share,Target,2026,100.0,Share
Demand\Freight road\LCVs\BEV,Sales Share,Target,2027,100.0,Share
