Branch Path,Variable,Scenario,Year,Value,Units
Demand\Freight road,Sales,Current Accounts,2022,0.0,Device
Demand\Freight road,Sales,Target,2022,0.0,Device
Demand\Freight road,Sales,Target,2023,243683.2466055136,Device
Demand\Freight road,Sales,Target,2024,245116.4855438842,Device
Demand\Freight road,Sales,Target,2025,242723.0486002819,Device
Demand\Freight road,Sales,Target,2026,241293.8659692387,Device
Demand\Freight road,Sales,Target,2027,240080.0915856678,Device
Demand\Freight road,Sales,Target,2028,238826.9564783497,Device
Demand\Freight road,Sales,Target,2029,238085.7158786868,Device
Demand\Freight road,Sales,Target,2030,237607.8249601897,Device
Demand\Freight road,Sales,Target,2031,237108.3600475122,Device
Demand\Freight road,Sales,Target,2032,236999.8586046186,Device
Demand\Freight road,Sales,Target,2033,236850.5325254587,Device
Demand\Freight road,Sales,Target,2034,236677.1718217204,Device
Demand\Freight road,Sales,Target,2035,236862.1375544113,Device
Demand\Freight road,Sales,Target,2036,236797.2653394262,Device
Demand\Freight road,Sales,Target,2037,236998.4826551992,Device
Demand\Freight road,Sales,Target,2038,237159.9427128099,Device
Demand\Freight road,Sales,Target,2039,237222.1603924609,Device
Demand\Freight road,Sales,Target,2040,237280.0292621579,Device
Demand\Freight road,Sales,Target,2041,237465.0039005867,Device
Demand\Freight road,Sales,Target,2042,237521.1466055758,Device
Demand\Freight road,Sales,Target,2043,237657.0985026174,Device
Demand\Freight road,Sales,Target,2044,237462.3758924938,Device
Demand\Freight road,Sales,Target,2045,237513.0172430838,Device
Demand\Freight road,Sales,Target,2046,237415.6589014051,Device
Demand\Freight road,Sales,Target,2047,237303.5842538138,Device
Demand\Freight road,Sales,Target,2048,237113.5430975522,Device
Demand\Freight road,Sales,Target,2049,236588.9626677625,Device
Demand\Freight road,Sales,Target,2050,236287.5294801482,Device
Demand\Freight road,Sales,Target,2051,236035.4484958516,Device
Demand\Freight road,Sales,Target,2052,235577.8465719864,Device
Demand\Freight road,Sales,Target,2053,235130.0585746312,Device
Demand\Freight road,Sales,Target,2054,234584.1888875524,Device
Demand\Freight road,Sales,Target,2055,233962.3174238751,Device
Demand\Freight road,Sales,Target,2056,233309.8015691053,Device
Demand\Freight road,Sales,Target,2057,232620.9012991278,Device
Demand\Freight road,Sales,Target,2058,232200.6105443658,Device
Demand\Freight road,Sales,Target,2059,231411.6395600987,Device
Demand\Freight road,Sales,Target,2060,228208.3370346396,Device
Demand\Freight road\LCVs,Sales Share,Current Accounts,2022,30.0,Share
Demand\Freight road\LCVs,Sales Share,Target,2022,30.0,Share
Demand\Freight road\LCVs,Sales Share,Target,2023,72.31321267812218,Share
Demand\Freight road\LCVs,Sales Share,Target,2024,72.40818489148019,Share
Demand\Freight road\LCVs,Sales Share,Target,2025,71.89534649938108,Share
Demand\Freight road\LCVs,Sales Share,Target,2026,71.40226442001403,Share
Demand\Freight road\LCVs,Sales Share,Target,2027,70.94239658773697,Share
Demand\Freight road\LCVs,Sales Share,Target,2028,75.83359641888401,Share
Demand\Freight road\LCVs,Sales Share,Target,2029,78.59750483853743,Share
Demand\Freight road\LCVs,Sales Share,Target,2030,78.88598888288575,Share
Demand\Freight road\LCVs,Sales Share,Target,2031,79.90276716830707,Share
Demand\Freight road\LCVs,Sales Share,Target,2032,77.93902997104156,Share
Demand\Freight road\LCVs,Sales Share,Target,2033,79.08681148785193,Share
Demand\Freight road\LCVs,Sales Share,Target,2034,79.69327761763691,Share
Demand\Freight road\LCVs,Sales Share,Target,2035,80.48972918710018,Share
Demand\Freight road\LCVs,Sales Share,Target,2036,81.44586587950727,Share
Demand\Freight road\LCVs,Sales Share,Target,2037,82.36035763196912,Share
Demand\Freight road\LCVs,Sales Share,Target,2038,82.29415696345119,Share
Demand\Freight road\LCVs,Sales Share,Target,2039,81.08446764767413,Share
Demand\Freight road\LCVs,Sales Share,Target,2040,79.9833797122403,Share
Demand\Freight road\LCVs,Sales Share,Target,2041,79.48279210280104,Share
Demand\Freight road\LCVs,Sales Share,Target,2042,79.01574430610633,Share
Demand\Freight road\LCVs,Sales Share,Target,2043,78.57146953607193,Share
Demand\Freight road\LCVs,Sales Share,Target,2044,78.1535444495047,Share
Demand\Freight road\LCVs,Sales Share,Target,2045,77.75906229091875,Share
Demand\Freight road\LCVs,Sales Share,Target,2046,77.38631047727644,Share
Demand\Freight road\LCVs,Sales Share,Target,2047,77.03333938077851,Share
Demand\Freight road\LCVs,Sales Share,Target,2048,76.69692053773238,Share
Demand\Freight road\LCVs,Sales Share,Target,2049,76.37987676297449,Share
Demand\Freight road\LCVs,Sales Share,Target,2050,76.074405488551,Share
Demand\Freight road\LCVs,Sales Share,Target,2051,75.65713304159644,Share
Demand\Freight road\LCVs,Sales Share,Target,2052,75.24854932146103,Share
Demand\Freight road\LCVs,Sales Share,Target,2053,74.84574153736276,Share
Demand\Freight road\LCVs,Sales Share,Target,2054,74.45432059417955,Share
Demand\Freight road\LCVs,Sales Share,Target,2055,74.06827055228354,Share
Demand\Freight road\LCVs,Sales Share,Target,2056,73.6942608555125,Share
Demand\Freight road\LCVs,Sales Share,Target,2057,73.3378464251161,Share
Demand\Freight road\LCVs,Sales Share,Target,2058,72.99601544615281,Share
Demand\Freight road\LCVs,Sales Share,Target,2059,72.66396609039475,Share
Demand\Freight road\LCVs,Sales Share,Target,2060,72.34903224900377,Share
Demand\Freight road\LCVs,Stock,Current Accounts,2022,2408366.391983052,Device
Demand\Freight road\LCVs,Stock Share,Current Accounts,2022,72.31264247579163,Share
Demand\Freight road\LCVs\BEV,Sales Share,Current Accounts,2022,5.0,Share
Demand\Freight road\LCVs\BEV,Sales Share,Target,2022,5.0,Share
Demand\Freight road\LCVs\BEV,Sales Share,Target,2023,39.20066581840931,Share
Demand\Freight road\LCVs\BEV,Sales Share,Target,2024,49.65687211579711,Share
Demand\Freight road\LCVs\BEV,Sales Share,Target,2025,59.01531950544454,Share
Demand\Freight road\LCVs\BEV,Sales Share,Target,2026,73.44273866217992,Share
Demand\Freight road\LCVs\BEV,Sales Share,Target,2027,86.80821014428659,Share
