Branch Path,Variable,Scenario,Year,Value,Units
Demand\Freight road,Sales,Current Accounts,2022,0.0,Device
Demand\Freight road,Sales,Target,2022,0.0,Device
Demand\Freight road,Sales,Target,2023,1913.565038319309,Device
Demand\Freight road,Sales,Target,2024,1925.566447867174,Device
Demand\Freight road,Sales,Target,2025,1913.47912681943,Device
Demand\Freight road,Sales,Target,2026,1911.254661137735,Device
Demand\Freight road,Sales,Target,2027,1911.678609632582,Device
Demand\Freight road,Sales,Target,2028,1912.077400838931,Device
Demand\Freight road,Sales,Target,2029,1918.104586936458,Device
Demand\Freight road,Sales,Target,2030,1926.147005006424,Device
Demand\Freight road,Sales,Target,2031,1936.550144318061,Device
Demand\Freight road,Sales,Target,2032,1950.763971414229,Device
Demand\Freight road,Sales,Target,2033,1966.146501832082,Device
Demand\Freight road,Sales,Target,2034,1981.064514478856,Device
Demand\Freight road,Sales,Target,2035,1998.033514275382,Device
Demand\Freight road,Sales,Target,2036,2016.883745492857,Device
Demand\Freight road,Sales,Target,2037,2036.77538180484,Device
Demand\Freight road,Sales,Target,2038,2057.341688832964,Device
Demand\Freight road,Sales,Target,2039,2078.273421838848,Device
Demand\Freight road,Sales,Target,2040,2097.860742412976,Device
Demand\Freight road,Sales,Target,2041,2120.309883217735,Device
Demand\Freight road,Sales,Target,2042,2140.592463368789,Device
Demand\Freight road,Sales,Target,2043,2160.164122568053,Device
Demand\Freight road,Sales,Target,2044,2182.514143353595,Device
Demand\Freight road,Sales,Target,2045,2197.326147406155,Device
Demand\Freight road,Sales,Target,2046,2220.986776079998,Device
Demand\Freight road,Sales,Target,2047,2240.515188343277,Device
Demand\Freight road,Sales,Target,2048,2258.837236402371,Device
Demand\Freight road,Sales,Target,2049,2276.666873733382,Device
Demand\Freight road,Sales,Target,2050,2292.748789219909,Device
Demand\Freight road,Sales,Target,2051,2310.182802201184,Device
Demand\Freight road,Sales,Target,2052,2325.777351095629,Device
Demand\Freight road,Sales,Target,2053,2342.042843379589,Device
Demand\Freight road,Sales,Target,2054,2357.604447036373,Device
Demand\Freight road,Sales,Target,2055,2371.460397266915,Device
Demand\Freight road,Sales,Target,2056,2383.888061549161,Device
Demand\Freight road,Sales,Target,2057,2397.558319461953,Device
Demand\Freight road,Sales,Target,2058,2415.697945377947,Device
Demand\Freight road,Sales,Target,2059,2426.54015082862,Device
Demand\Freight road,Sales,Target,2060,2421.005002539196,Device
Demand\Freight road,Stock,Current Accounts,2022,21863.48322524374,Device
Demand\Freight road\LCVs,Sales Share,Current Accounts,2022,30.0,Share
Demand\Freight road\LCVs,Sales Share,Target,2022,30.0,Share
Demand\Freight road\LCVs,Sales Share,Target,2023,2.794450058859127,Share
Demand\Freight road\LCVs,Sales Share,Target,2024,2.594926291447035,Share
Demand\Freight road\LCVs,Sales Share,Target,2025,2.949649216427105,Share
Demand\Freight road\LCVs,Sales Share,Target,2026,3.756171800938537,Share
Demand\Freight road\LCVs,Sales Share,Target,2027,3.764645888365942,Share
Demand\Freight road\LCVs,Sales Share,Target,2028,3.604492865457883,Share
Demand\Freight road\LCVs,Sales Share,Target,2029,3.908039450458006,Share
Demand\Freight road\LCVs,Sales Share,Target,2030,3.851882650735969,Share
Demand\Freight road\LCVs,Sales Share,Target,2031,3.74992166017705,Share
Demand\Freight road\LCVs,Sales Share,Target,2032,3.775441728999207,Share
Demand\Freight road\LCVs,Sales Share,Target,2033,3.915256693632147,Share
Demand\Freight road\LCVs,Sales Share,Target,2034,3.900222230957636,Share
Demand\Freight road\LCVs,Sales Share,Target,2035,3.93490137468126,Share
Demand\Freight road\LCVs,Sales Share,Target,2036,4.421413982529536,Share
Demand\Freight road\LCVs,Sales Share,Target,2037,4.526160426092832,Share
Demand\Freight road\LCVs,Sales Share,Target,2038,4.623162081090756,Share
Demand\Freight road\LCVs,Sales Share,Target,2039,4.715535964663588,Share
Demand\Freight road\LCVs,Sales Share,Target,2040,4.806886989167155,Share
Demand\Freight road\LCVs,Sales Share,Target,2041,4.44515159356741,Share
Demand\Freight road\LCVs,Sales Share,Target,2042,4.541422389771429,Share
Demand\Freight road\LCVs,Sales Share,Target,2043,4.629861817338525,Share
Demand\Freight road\LCVs,Sales Share,Target,2044,4.72043000269458,Share
Demand\Freight road\LCVs,Sales Share,Target,2045,4.822531056798766,Share
Demand\Freight road\LCVs,Sales Share,Target,2046,4.922542721652833,Share
Demand\Freight road\LCVs,Sales Share,Target,2047,4.989406790629858,Share
Demand\Freight road\LCVs,Sales Share,Target,2048,5.107329374042797,Share
Demand\Freight road\LCVs,Sales Share,Target,2049,5.193149961014132,Share
Demand\Freight road\LCVs,Sales Share,Target,2050,5.32018972183123,Share
Demand\Freight road\LCVs,Sales Share,Target,2051,5.369268848783534,Share
Demand\Freight road\LCVs,Sales Share,Target,2052,5.299349174756528,Share
Demand\Freight road\LCVs,Sales Share,Target,2053,5.230216887825994,Share
Demand\Freight road\LCVs,Sales Share,Target,2054,5.163440835383358,Share
Demand\Freight road\LCVs,Sales Share,Target,2055,5.095745786985106,Share
Demand\Freight road\LCVs,Sales Share,Target,2056,5.029025775571832,Share
Demand\Freight road\LCVs,Sales Share,Target,2057,4.962516423307552,Share
Demand\Freight road\LCVs,Sales Share,Target,2058,4.895655172046364,Share
Demand\Freight road\LCVs,Sales Share,Target,2059,4.855483563846513,Share
Demand\Freight road\LCVs,Sales Share,Target,2060,4.922157524586053,Share
Demand\Freight road\LCVs,Stock,Current Accounts,2022,634.0804782169583,Device
Demand\Freight road\LCVs,Stock Share,Current Accounts,2022,2.900302023374722,Share
Demand\Freight road\LCVs\BEV,Sales Share,Current Accounts,2022,5.0,Share
Demand\Freight road\LCVs\BEV,Sales Share,Target,2022,5.0,Share
Demand\Freight road\LCVs\BEV,Sales Share,Target,2023,0.0,Share
Demand\Freight road\LCVs\BEV,Sales Share,Target,2024,0.0,Share
Demand\Freight road\LCVs\BEV,Sales Share,Target,2025,0.0,Share
Demand\Freight road\LCVs\BEV,Sales Share,Target,2026,0.0,Share
Demand\Freight road\LCVs\BEV,Sales Share,Target,2027,0.0,Share
