Branch Path,Variable,branch_level
Demand\Freight road,Reconciliation Bound Lower Efficiency,transport
Demand\Freight road,Reconciliation Bound Lower Mileage,transport
Demand\Freight road,Reconciliation Bound Upper Efficiency,transport
Demand\Freight road,Reconciliation Bound Upper Mileage,transport
Demand\Freight road,Reconciliation Weight Efficiency,transport
Demand\Freight road,Reconciliation Weight Mileage,transport
Demand\Freight road,Reconciliation Weight Stock,transport
Demand\Freight road\Age 0,Survival Rate,age
Demand\Freight road\Age 0,Vintage Profile Share,age
Demand\Freight road\Age 1,Survival Rate,age
Demand\Freight road\Age 1,Vintage Profile Share,age
Demand\Freight road\Age 10,Survival Rate,age
Demand\Freight road\Age 10,Vintage Profile Share,age
Demand\Freight road\Age 11,Survival Rate,age
Demand\Freight road\Age 11,Vintage Profile Share,age
Demand\Freight road\Age 12,Survival Rate,age
Demand\Freight road\Age 12,Vintage Profile Share,age
Demand\Freight road\Age 13,Survival Rate,age
Demand\Freight road\Age 13,Vintage Profile Share,age
Demand\Freight road\Age 14,Survival Rate,age
Demand\Freight road\Age 14,Vintage Profile Share,age
Demand\Freight road\Age 15,Survival Rate,age
Demand\Freight road\Age 15,Vintage Profile Share,age
Demand\Freight road\Age 16,Survival Rate,age
Demand\Freight road\Age 16,Vintage Profile Share,age
Demand\Freight road\Age 17,Survival Rate,age
Demand\Freight road\Age 17,Vintage Profile Share,age
Demand\Freight road\Age 18,Survival Rate,age
Demand\Freight road\Age 18,Vintage Profile Share,age
Demand\Freight road\Age 19,Survival Rate,age
Demand\Freight road\Age 19,Vintage Profile Share,age
Demand\Freight road\Age 2,Survival Rate,age
Demand\Freight road\Age 2,Vintage Profile Share,age
Demand\Freight road\Age 20,Survival Rate,age
Demand\Freight road\Age 20,Vintage Profile Share,age
Demand\Freight road\Age 21,Survival Rate,age
Demand\Freight road\Age 21,Vintage Profile Share,age
Demand\Freight road\Age 22,Survival Rate,age
Demand\Freight road\Age 22,Vintage Profile Share,age
Demand\Freight road\Age 23,Survival Rate,age
Demand\Freight road\Age 23,Vintage Profile Share,age
Demand\Freight road\Age 24,Survival Rate,age
Demand\Freight road\Age 24,Vintage Profile Share,age
Demand\Freight road\Age 25,Survival Rate,age
Demand\Freight road\Age 25,Vintage Profile Share,age
Demand\Freight road\Age 26,Survival Rate,age
Demand\Freight road\Age 26,Vintage Profile Share,age
Demand\Freight road\Age 27,Survival Rate,age
Demand\Freight road\Age 27,Vintage Profile Share,age
Demand\Freight road\Age 28,Survival Rate,age
Demand\Freight road\Age 28,Vintage Profile Share,age
