Branch Path,Variable,Scenario,Region,Units,expected_unit,unit_check_status,notes
Demand\Freight road,Reconciliation Bound Lower,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road,Reconciliation Bound Upper,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road,Reconciliation Weight,Reference,Papua New Guinea,Weight,Weight,pass,
Demand\Freight road\Age 0,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 0,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 1,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 1,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 10,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 10,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 11,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 11,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 12,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 12,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 13,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 13,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 14,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 14,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 15,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 15,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 16,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 16,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 17,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 17,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 18,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 18,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 19,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 19,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 2,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 2,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 20,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 20,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 21,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 21,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Age 22,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
