"default_version","economy","Branch_Path","Variable","Scenario","Region","expected_key_Branch_Path","expected_key_Variable","expected_key_Scenario","expected_key_Region","input_source","source_type","source_name","source_scope","review_recommended","review_reason"
"v2026_05_25_best_guess","01AUS","Demand\Freight road\LCVs\FCEV\Hydrogen","Final On-Road Fuel Economy","Reference","Australia","Demand\Freight road\LCVs\FCEV\Hydrogen","Final On-Road Fuel Economy","Reference","Australia","provided","default_best_guess","APERC placeholder road defaults","all_apec_economies_until_researcher_update","True","Placeholder default. Replace with economy-specific researcher data when available."
"v2026_05_25_best_guess","01AUS","Demand\Freight road\LCVs\HEV\Motor gasoline","Final On-Road Fuel Economy","Reference","Australia","Demand\Freight road\LCVs\HEV\Motor gasoline","Final On-Road Fuel Economy","Reference","Australia","provided","default_best_guess","APERC placeholder road defaults","all_apec_economies_until_researcher_update","True","Placeholder default. Replace with economy-specific researcher data when available."
"v2026_05_25_best_guess","01AUS","Demand\Freight road\LCVs\PHEV","Final On-Road Fuel Economy","Reference","Australia","Demand\Freight road\LCVs\PHEV","Final On-Road Fuel Economy","Reference","Australia","provided","default_best_guess","APERC placeholder road defaults","all_apec_economies_until_researcher_update","True","Placeholder default. Replace with economy-specific researcher data when available."
"v2026_05_25_best_guess","01AUS","Demand\Freight road\Trucks\HEV heavy\Motor gasoline","Final On-Road Fuel Economy","Reference","Australia","Demand\Freight road\Trucks\HEV heavy\Motor gasoline","Final On-Road Fuel Economy","Reference","Australia","provided","default_best_guess","APERC placeholder road defaults","all_apec_economies_until_researcher_update","True","Placeholder default. Replace with economy-specific researcher data when available."
"v2026_05_25_best_guess","01AUS","Demand\Freight road\Trucks\HEV medium\Motor gasoline","Final On-Road Fuel Economy","Reference","Australia","Demand\Freight road\Trucks\HEV medium\Motor gasoline","Final On-Road Fuel Economy","Reference","Australia","provided","default_best_guess","APERC placeholder road defaults","all_apec_economies_until_researcher_update","True","Placeholder default. Replace with economy-specific researcher data when available."
"v2026_05_25_best_guess","01AUS","Demand\Freight road\Trucks\PHEV heavy","Final On-Road Fuel Economy","Reference","Australia","Demand\Freight road\Trucks\PHEV heavy","Final On-Road Fuel Economy","Reference","Australia","provided","default_best_guess","APERC placeholder road defaults","all_apec_economies_until_researcher_update","True","Placeholder default. Replace with economy-specific researcher data when available."
"v2026_05_25_best_guess","01AUS","Demand\Freight road\Trucks\PHEV medium","Final On-Road Fuel Economy","Reference","Australia","Demand\Freight road\Trucks\PHEV medium","Final On-Road Fuel Economy","Reference","Australia","provided","default_best_guess","APERC placeholder road defaults","all_apec_economies_until_researcher_update","True","Placeholder default. Replace with economy-specific researcher data when available."
"v2026_05_25_best_guess","01AUS","Demand\Passenger road\Buses\HEV\Motor gasoline","Final On-Road Fuel Economy","Reference","Australia","Demand\Passenger road\Buses\HEV\Motor gasoline","Final On-Road Fuel Economy","Reference","Australia","provided","default_best_guess","APERC placeholder road defaults","all_apec_economies_until_researcher_update","True","Placeholder default. Replace with economy-specific researcher data when available."
"v2026_05_25_best_guess","01AUS","Demand\Passenger road\Buses\PHEV","Final On-Road Fuel Economy","Reference","Australia","Demand\Passenger road\Buses\PHEV","Final On-Road Fuel Economy","Reference","Australia","provided","default_best_guess","APERC placeholder road defaults","all_apec_economies_until_researcher_update","True","Placeholder default. Replace with economy-specific researcher data when available."
"v2026_05_25_best_guess","01AUS","Demand\Passenger road\LPVs\FCEV large\Hydrogen","Final On-Road Fuel Economy","Reference","Australia","Demand\Passenger road\LPVs\FCEV large\Hydrogen","Final On-Road Fuel Economy","Reference","Australia","provided","default_best_guess","APERC placeholder road defaults","all_apec_economies_until_researcher_update","True","Placeholder default. Replace with economy-specific researcher data when available."
