Economy,Scenario,Branch Path,Variable,Year,Value,Units,Source,Comment
16RUS,Current Accounts,Demand\Freight road,Sales,2022,0.0,Device,road_module1_source_16RUS.csv,Loaded from preprocessed Road Module 1 source.
16RUS,Current Accounts,Demand\Freight road,Stock,2022,808731.0896184028,Device,road_module1_source_16RUS.csv,Loaded from preprocessed Road Module 1 source.
16RUS,Current Accounts,Demand\Freight road\LCVs,Sales Share,2022,30.0,Share,road_module1_source_16RUS.csv,Loaded from preprocessed Road Module 1 source.
16RUS,Current Accounts,Demand\Freight road\LCVs,Stock,2022,146673.0982265798,Device,road_module1_source_16RUS.csv,Loaded from preprocessed Road Module 1 source.
16RUS,Current Accounts,Demand\Freight road\LCVs,Stock Share,2022,17.961574134163257,Share,road_module1_source_16RUS.csv,Loaded from preprocessed Road Module 1 source.
16RUS,Current Accounts,Demand\Freight road\LCVs\BEV,Sales Share,2022,5.0,Share,road_module1_source_16RUS.csv,Loaded from preprocessed Road Module 1 source.
16RUS,Current Accounts,Demand\Freight road\LCVs\BEV,Stock Share,2022,0.0,Share,road_module1_source_16RUS.csv,Loaded from preprocessed Road Module 1 source.
16RUS,Current Accounts,Demand\Freight road\LCVs\BEV\Electricity,Average Mileage,2022,18889.32636019898,Kilometer,road_module1_source_16RUS.csv,Loaded from preprocessed Road Module 1 source.
16RUS,Current Accounts,Demand\Freight road\LCVs\BEV\Electricity,Device Share,2022,100.0,Share,road_module1_source_16RUS.csv,Loaded from preprocessed Road Module 1 source.
16RUS,Current Accounts,Demand\Freight road\LCVs\BEV\Electricity,Final On-Road Mileage,2022,18889.32636019898,Kilometer,road_module1_source_16RUS.csv,Loaded from preprocessed Road Module 1 source.
16RUS,Current Accounts,Demand\Freight road\LCVs\BEV\Electricity,Fuel Economy,2022,0.0,MJ/100 km,road_module1_source_16RUS.csv,Loaded from preprocessed Road Module 1 source.
16RUS,Current Accounts,Demand\Freight road\LCVs\BEV\Electricity,Mileage,2022,0.0,Kilometer,road_module1_source_16RUS.csv,Loaded from preprocessed Road Module 1 source.
16RUS,Current Accounts,Demand\Freight road\LCVs\ICE,Sales Share,2022,88.0,Share,road_module1_source_16RUS.csv,Loaded from preprocessed Road Module 1 source.
16RUS,Current Accounts,Demand\Freight road\LCVs\ICE,Stock Share,2022,100.0,Share,road_module1_source_16RUS.csv,Loaded from preprocessed Road Module 1 source.
16RUS,Current Accounts,Demand\Freight road\LCVs\ICE\Biogas,Average Mileage,2022,18889.32636019898,Kilometer,road_module1_source_16RUS.csv,Loaded from preprocessed Road Module 1 source.
16RUS,Current Accounts,Demand\Freight road\LCVs\ICE\Biogas,Device Share,2022,0.0,Share,road_module1_source_16RUS.csv,Loaded from preprocessed Road Module 1 source.
16RUS,Current Accounts,Demand\Freight road\LCVs\ICE\Biogas,Final On-Road Mileage,2022,18889.32636019898,Kilometer,road_module1_source_16RUS.csv,Loaded from preprocessed Road Module 1 source.
16RUS,Current Accounts,Demand\Freight road\LCVs\ICE\Biogas,Fuel Economy,2022,647.9490263243414,MJ/100 km,road_module1_source_16RUS.csv,Loaded from preprocessed Road Module 1 source.
16RUS,Current Accounts,Demand\Freight road\LCVs\ICE\Biogas,Mileage,2022,18889.32636019898,Kilometer,road_module1_source_16RUS.csv,Loaded from preprocessed Road Module 1 source.
16RUS,Current Accounts,Demand\Freight road\LCVs\ICE\Biogasoline,Average Mileage,2022,18889.32636019898,Kilometer,road_module1_source_16RUS.csv,Loaded from preprocessed Road Module 1 source.
16RUS,Current Accounts,Demand\Freight road\LCVs\ICE\Biogasoline,Device Share,2022,0.0,Share,road_module1_source_16RUS.csv,Loaded from preprocessed Road Module 1 source.
16RUS,Current Accounts,Demand\Freight road\LCVs\ICE\Biogasoline,Final On-Road Mileage,2022,18889.32636019898,Kilometer,road_module1_source_16RUS.csv,Loaded from preprocessed Road Module 1 source.
16RUS,Current Accounts,Demand\Freight road\LCVs\ICE\Biogasoline,Fuel Economy,2022,585.3552723559375,MJ/100 km,road_module1_source_16RUS.csv,Loaded from preprocessed Road Module 1 source.
16RUS,Current Accounts,Demand\Freight road\LCVs\ICE\Biogasoline,Mileage,2022,18889.32636019898,Kilometer,road_module1_source_16RUS.csv,Loaded from preprocessed Road Module 1 source.
16RUS,Current Accounts,Demand\Freight road\LCVs\ICE\Gas and diesel oil,Average Mileage,2022,18889.32636019898,Kilometer,road_module1_source_16RUS.csv,Loaded from preprocessed Road Module 1 source.
16RUS,Current Accounts,Demand\Freight road\LCVs\ICE\Gas and diesel oil,Device Share,2022,71.71326215415436,Share,road_module1_source_16RUS.csv,Loaded from preprocessed Road Module 1 source.
16RUS,Current Accounts,Demand\Freight road\LCVs\ICE\Gas and diesel oil,Final On-Road Mileage,2022,18889.32636019898,Kilometer,road_module1_source_16RUS.csv,Loaded from preprocessed Road Module 1 source.
16RUS,Current Accounts,Demand\Freight road\LCVs\ICE\Gas and diesel oil,Fuel Economy,2022,571.0525771935858,MJ/100 km,road_module1_source_16RUS.csv,Loaded from preprocessed Road Module 1 source.
16RUS,Current Accounts,Demand\Freight road\LCVs\ICE\Gas and diesel oil,Mileage,2022,18889.29847962139,Kilometer,road_module1_source_16RUS.csv,Loaded from preprocessed Road Module 1 source.
16RUS,Current Accounts,Demand\Freight road\LCVs\ICE\LPG,Average Mileage,2022,18889.32636019898,Kilometer,road_module1_source_16RUS.csv,Loaded from preprocessed Road Module 1 source.
16RUS,Current Accounts,Demand\Freight road\LCVs\ICE\LPG,Device Share,2022,7.646550753333036,Share,road_module1_source_16RUS.csv,Loaded from preprocessed Road Module 1 source.
16RUS,Current Accounts,Demand\Freight road\LCVs\ICE\LPG,Final On-Road Mileage,2022,18889.32636019898,Kilometer,road_module1_source_16RUS.csv,Loaded from preprocessed Road Module 1 source.
16RUS,Current Accounts,Demand\Freight road\LCVs\ICE\LPG,Fuel Economy,2022,483.1692162302305,MJ/100 km,road_module1_source_16RUS.csv,Loaded from preprocessed Road Module 1 source.
